date,close
2010-07-01,1.464
2010-07-08,1.164
2010-07-14,1.32267
2010-07-20,1.35333
2010-07-26,1.39667
2010-07-30,1.32933
2010-08-05,1.36333
2010-08-11,1.19333
2010-08-17,1.27667
2010-08-23,1.342
2010-08-27,1.31333
2010-09-02,1.404
2010-09-09,1.38067
2010-09-15,1.46533
2010-09-21,1.38467
2010-09-27,1.36867
2010-10-01,1.37333
2010-10-07,1.362
2010-10-13,1.36933
2010-10-19,1.33667
2010-10-25,1.39
2010-10-29,1.456
2010-11-04,1.66
2010-11-10,1.95733
2010-11-16,1.978
2010-11-22,2.22667
2010-11-29,2.28867
2010-12-03,2.09933
2010-12-09,2.13667
2010-12-15,1.97333
2010-12-21,2.15067
2010-12-28,1.76067
2011-01-03,1.77467
2011-01-07,1.88267
2011-01-13,1.748
2011-01-20,1.508
2011-01-26,1.65
2011-02-01,1.594
2011-02-07,1.538
2011-02-11,1.55
2011-02-18,1.54533
2011-02-25,1.574
2011-03-03,1.624
2011-03-09,1.648
2011-03-15,1.53
2011-03-21,1.51533
2011-03-25,1.51667
2011-03-31,1.85
2011-04-06,1.766
2011-04-12,1.64333
2011-04-18,1.66867
2011-04-25,1.75933
2011-04-29,1.84
2011-05-05,1.76267
2011-05-11,1.80467
2011-05-17,1.73067
2011-05-23,1.788
2011-05-27,1.97
2011-06-03,2.00867
2011-06-09,1.84133
2011-06-15,1.82133
2011-06-21,1.83533
2011-06-27,1.83067
2011-07-01,1.93467
2011-07-08,1.92067
2011-07-14,1.84067
2011-07-20,1.91267
2011-07-26,1.86667
2011-08-01,1.918
2011-08-05,1.616
2011-08-11,1.68667
2011-08-17,1.722
2011-08-23,1.53067
2011-08-29,1.64733
2011-09-02,1.538
2011-09-09,1.53133
2011-09-15,1.65467
2011-09-21,1.72333
2011-09-27,1.746
2011-10-03,1.582
2011-10-07,1.79933
2011-10-13,1.86267
2011-10-19,1.838
2011-10-25,1.88333
2011-10-31,1.958
2011-11-04,2.154
2011-11-10,2.08867
2011-11-16,2.32933
2011-11-22,2.138
2011-11-29,2.11667
2011-12-05,2.29467
2011-12-09,2.06933
2011-12-15,1.908
2011-12-21,1.838
2011-12-28,1.90067
2012-01-04,1.84733
2012-01-10,1.84133
2012-01-17,1.77333
2012-01-23,1.78467
2012-01-27,1.95533
2012-02-02,2.01667
2012-02-08,2.12867
2012-02-14,2.21133
2012-02-21,2.3
2012-02-27,2.24133
2012-03-02,2.26933
2012-03-08,2.20467
2012-03-14,2.35267
2012-03-20,2.33067
2012-03-26,2.49333
2012-03-30,2.48267
2012-04-05,2.314
2012-04-12,2.22933
2012-04-18,2.17733
2012-04-24,2.12133
2012-04-30,2.20867
2012-05-04,2.122
2012-05-10,2.19733
2012-05-16,1.94533
2012-05-22,2.05267
2012-05-29,2.11267
2012-06-04,1.85867
2012-06-08,2.00533
2012-06-14,1.95933
2012-06-20,2.252
2012-06-26,2.10733
2012-07-02,2.02667
2012-07-09,2.09933
2012-07-13,2.28333
2012-07-19,2.15133
2012-07-25,1.93
2012-07-31,1.828
2012-08-06,1.88467
2012-08-10,1.996
2012-08-16,2.02
2012-08-22,1.99667
2012-08-28,1.91267
2012-09-04,1.876
2012-09-10,1.82467
2012-09-14,2.026
2012-09-20,2.06
2012-09-26,1.836
2012-10-02,1.98667
2012-10-08,1.95
2012-10-12,1.84267
2012-10-18,1.86933
