date,close
1959-09-28,371.93
1959-10-06,347.45
1959-10-14,344.81
1959-10-23,357.05
1959-11-02,364.9
1959-11-10,377.69
1959-11-20,379.48
1959-11-30,379.51
1959-12-08,389.37
1959-12-16,397.03
1959-12-28,411.46
1960-01-06,424.44
1960-01-14,421.65
1960-01-22,417.23
1960-02-01,419.83
1960-02-09,428.35
1960-02-17,410.68
1960-02-25,407.0
1960-03-04,411.31
1960-03-14,396.96
1960-03-22,406.96
1960-03-30,412.02
1960-04-07,426.94
1960-04-19,432.74
1960-04-28,427.46
1960-05-06,432.7
1960-05-16,437.72
1960-05-24,449.4
1960-06-02,462.9
1960-06-13,481.24
1960-06-23,515.97
1960-07-01,545.99
1960-07-11,522.0
1960-07-19,516.5
1960-07-27,522.15
1960-08-04,534.2
1960-08-12,557.33
1960-08-22,563.32
1960-08-30,583.55
1960-09-07,588.98
1960-09-15,553.87
1960-09-23,567.08
1960-10-03,548.18
1960-10-11,557.56
1960-10-19,545.58
1960-10-27,551.68
1960-11-04,557.37
1960-11-14,551.72
1960-11-23,518.91
1960-12-01,543.31
1960-12-09,536.99
1960-12-19,525.12
1960-12-27,526.09
1961-01-05,531.22
1961-01-13,514.86
1961-01-23,537.77
1961-01-31,531.78
1961-02-08,518.47
1961-02-16,526.39
1961-02-24,536.13
1961-03-06,518.43
1961-03-14,527.28
1961-03-22,518.76
1961-03-30,536.24
1961-04-11,541.67
1961-04-19,539.18
1961-04-27,542.16
1961-05-08,549.78
1961-05-17,567.34
1961-05-26,570.98
1961-06-06,591.48
1961-06-14,582.48
1961-06-22,567.41
1961-06-30,554.1
1961-07-10,534.39
1961-07-18,527.91
1961-07-26,528.25
1961-08-03,542.9
1961-08-11,528.47
1961-08-21,516.9
1961-08-29,492.95
1961-09-06,455.98
1961-09-14,488.71
1961-09-22,487.08
1961-10-02,481.16
1961-10-10,481.61
1961-10-18,487.82
1961-10-26,497.27
1961-11-03,501.88
1961-11-13,530.81
1961-11-21,511.77
1961-11-30,509.95
1961-12-08,500.5
1961-12-18,485.66
1961-12-28,487.45
1962-01-08,474.13
1962-01-16,490.83
1962-01-24,482.76
1962-02-01,481.91
1962-02-09,475.99
1962-02-19,474.77
1962-02-27,469.45
1962-03-07,478.63
1962-03-15,478.22
1962-03-23,454.76
1962-04-02,470.82
1962-04-10,450.81
1962-04-18,453.64
1962-04-30,448.43
1962-05-09,438.24
1962-05-18,411.61
1962-05-28,381.97
1962-06-06,401.5
1962-06-15,386.77
1962-06-26,364.19
1962-07-04,393.5
1962-07-12,397.48
1962-07-20,387.85
1962-07-30,362.44
1962-08-07,342.58
1962-08-15,390.52
1962-08-23,383.83
1962-08-31,383.09
1962-09-10,372.93
1962-09-18,372.63
1962-09-26,361.36
1962-10-04,344.78
1962-10-12,319.86
1962-10-22,334.92
1962-10-30,353.44
1962-11-07,356.75
1962-11-15,362.78
1962-11-26,393.09
1962-12-04,390.93
1962-12-12,393.2
1962-12-20,387.1
1963-01-02,383.46
1963-01-10,368.51
1963-01-18,371.63
1963-01-28,370.25
1963-02-05,366.98
1963-02-13,361.07
1963-02-21,350.24
1963-03-01,348.83
1963-03-11,362.15
1963-03-19,359.02
1963-03-27,364.3
1963-04-04,368.28
1963-04-16,378.73
1963-04-24,381.11
1963-05-03,388.18
1963-05-13,442.56
1963-05-21,417.12
1963-05-30,432.03
1963-06-11,431.4
1963-06-21,432.77
1963-07-01,423.96
1963-07-09,427.72
1963-07-17,435.04
1963-07-25,431.44
1963-08-02,431.99
1963-08-12,439.73
1963-08-20,454.46
1963-08-29,451.26
1963-09-06,462.53
1963-09-16,454.38
1963-09-24,454.57
1963-10-02,457.28
1963-10-10,448.36
1963-10-18,445.27
1963-10-28,434.82
1963-11-05,435.16
1963-11-13,433.67
1963-11-22,425.3
1963-12-02,426.64
1963-12-10,426.86
1963-12-18,432.48
1963-12-31,438.95
1964-01-09,458.62
1964-01-17,464.54
1964-01-27,463.16
1964-02-04,473.2
1964-02-12,478.89
1964-02-20,482.06
1964-02-28,488.64
1964-03-09,499.57
1964-03-17,508.83
1964-03-25,497.27
1964-04-06,514.12
1964-04-14,496.41
1964-04-22,503.85
1964-04-30,500.35
1964-05-12,501.02
1964-05-21,494.51
1964-06-01,477.18
1964-06-09,479.97
1964-06-18,469.78
1964-06-26,479.82
1964-07-06,495.07
1964-07-14,498.49
1964-07-22,490.24
1964-07-30,501.13
1964-08-07,499.35
1964-08-17,513.07
1964-08-25,512.03
1964-09-02,527.39
1964-09-10,519.47
1964-09-18,511.73
1964-09-28,499.91
1964-10-06,505.04
1964-10-14,496.71
1964-10-22,488.45
1964-10-30,479.82
1964-11-09,480.57
1964-11-17,476.14
1964-11-26,465.76
1964-12-07,477.41
1964-12-15,476.25
1964-12-23,479.49
1965-01-05,480.79
1965-01-13,479.08
1965-01-21,476.18
1965-01-29,489.05
1965-02-08,480.64
1965-02-16,472.46
1965-02-24,469.3
1965-03-04,469.26
1965-03-12,467.07
1965-03-22,449.51
1965-03-30,449.25
1965-04-07,463.16
1965-04-15,463.24
1965-04-27,455.87
1965-05-05,451.78
1965-05-13,453.79
1965-05-21,459.78
1965-06-01,467.48
1965-06-10,460.11
1965-06-21,446.95
1965-06-29,426.38
1965-07-07,444.04
1965-07-16,459.37
1965-07-26,449.73
1965-08-03,463.01
1965-08-11,469.11
1965-08-19,461.97
1965-08-27,457.88
1965-09-07,461.38
1965-09-15,471.38
1965-09-23,464.05
1965-10-01,458.77
1965-10-11,451.45
1965-10-19,454.2
1965-10-27,445.42
1965-11-04,445.01
1965-11-12,441.85
1965-11-23,435.9
1965-12-01,423.55
1965-12-09,429.43
1965-12-17,426.41
1965-12-29,424.7
1966-01-07,428.01
1966-01-17,443.9
1966-01-25,442.0
1966-02-02,444.42
1966-02-10,440.77
1966-02-18,451.11
1966-02-28,448.95
1966-03-08,440.99
1966-03-16,439.32
1966-03-25,436.68
1966-04-04,430.28
1966-04-14,430.25
1966-04-22,426.01
1966-05-02,406.74
1966-05-10,410.53
1966-05-20,398.0
1966-05-31,400.23
1966-06-08,395.99
1966-06-20,375.16
1966-06-28,356.79
1966-07-06,361.63
1966-07-14,358.58
1966-07-22,341.36
1966-08-01,340.05
1966-08-09,351.99
1966-08-17,355.34
1966-08-25,358.17
1966-09-02,353.07
1966-09-12,362.33
1966-09-20,373.3
1966-09-28,373.86
1966-10-06,364.23
1966-10-14,357.76
1966-10-24,343.29
1966-11-01,339.27
1966-11-09,344.03
1966-11-18,335.18
1966-11-28,344.81
1966-12-06,355.49
1966-12-14,339.53
1966-12-22,338.45
1967-01-02,337.26
1967-01-10,329.6
1967-01-18,319.93
1967-01-26,350.24
1967-02-03,375.5
1967-02-13,367.61
1967-02-21,373.97
1967-03-01,378.7
1967-03-09,377.69
1967-03-20,383.57
1967-03-30,387.62
1967-04-07,387.18
1967-04-17,382.3
1967-04-25,364.41
1967-05-05,364.04
1967-05-16,373.08
1967-05-24,372.04
1967-06-02,370.14
1967-06-12,371.7
1967-06-20,368.91
1967-06-28,365.75
1967-07-06,367.84
1967-07-14,372.08
1967-07-24,385.21
1967-08-01,392.9
1967-08-09,420.17
1967-08-17,430.1
1967-08-25,427.79
1967-09-04,434.97
1967-09-12,456.88
1967-09-20,450.78
1967-09-28,445.72
1967-10-06,444.53
1967-10-16,446.83
1967-10-24,451.74
1967-11-01,467.85
1967-11-09,469.45
1967-11-17,482.28
1967-11-28,479.01
1967-12-06,486.22
1967-12-14,481.68
1967-12-22,491.09
1968-01-04,511.1
1968-01-12,526.76
1968-01-22,547.25
1968-01-30,530.89
1968-02-07,532.45
1968-02-15,528.51
1968-02-23,520.44
1968-03-04,518.62
1968-03-12,526.46
1968-03-20,516.31
1968-03-28,532.6
1968-04-05,542.64
1968-04-17,554.51
1968-04-25,564.14
1968-05-06,570.76
1968-05-14,566.85
1968-05-22,561.8
1968-05-31,557.52
1968-06-11,572.84
1968-06-21,585.41
1968-07-01,593.93
1968-07-09,598.84
1968-07-17,585.53
1968-07-25,575.48
1968-08-02,588.17
1968-08-12,596.09
1968-08-20,596.72
1968-08-28,595.31
1968-09-05,576.82
1968-09-13,580.65
1968-09-23,579.05
1968-10-01,573.18
1968-10-09,581.43
1968-10-17,590.58
1968-10-25,581.4
1968-11-04,576.56
1968-11-12,574.59
1968-11-21,571.43
1968-11-29,560.12
1968-12-09,561.83
1968-12-17,545.69
1968-12-30,557.7
1969-01-08,559.79
1969-01-16,570.24
1969-01-24,583.03
1969-02-03,588.2
1969-02-11,582.62
1969-02-19,575.41
1969-02-27,572.43
1969-03-07,573.92
1969-03-17,574.74
1969-03-25,584.19
1969-04-02,586.64
1969-04-14,578.79
1969-04-22,570.05
1969-04-30,581.25
1969-05-09,587.5
1969-05-20,615.2
1969-05-29,618.48
1969-06-09,639.31
1969-06-18,613.08
1969-06-26,584.52
1969-07-04,588.87
1969-07-14,548.41
1969-07-22,572.88
1969-07-30,562.69
1969-08-07,588.13
1969-08-15,590.43
1969-08-25,600.92
1969-09-02,620.0
1969-09-10,602.86
1969-09-18,604.68
1969-09-26,610.15
1969-10-06,618.22
1969-10-14,619.48
1969-10-22,626.33
1969-10-30,623.31
1969-11-07,636.37
1969-11-17,659.2
1969-11-26,656.79
1969-12-05,633.76
1969-12-15,627.96
1969-12-23,614.98
1970-01-06,622.4
1970-01-14,602.1
1970-01-22,592.9
1970-01-30,582.2
1970-02-09,585.5
1970-02-17,576.4
1970-02-25,569.8
1970-03-05,558.7
1970-03-13,575.3
1970-03-23,557.4
1970-04-02,574.6
1970-04-10,580.5
1970-04-20,562.3
1970-04-28,532.6
1970-05-08,534.8
1970-05-19,491.2
1970-05-27,444.6
1970-06-05,483.9
1970-06-15,489.8
1970-06-24,467.7
1970-07-02,463.4
1970-07-10,474.1
1970-07-20,477.3
1970-07-28,482.4
1970-08-05,499.1
1970-08-13,509.9
1970-08-21,502.5
1970-08-31,496.6
1970-09-08,492.3
1970-09-16,474.1
1970-09-24,486.3
1970-10-02,478.5
1970-10-12,470.0
1970-10-20,476.0
1970-10-28,481.3
1970-11-05,476.4
1970-11-13,463.9
1970-11-24,447.0
