dat,clos
1998-11-19,41.24
1998-11-20,42.11
1998-11-23,46.86
1998-11-24,51.7
1998-11-25,47.11
1998-11-26,49.76
1998-11-27,50.4
1998-11-30,50.41
1998-12-01,47.86
1998-12-02,49.04
1998-12-03,46.86
1998-12-04,46.82
1998-12-07,48.24
1998-12-08,46.27
1998-12-09,45.23
1998-12-10,46.33
1998-12-11,45.77
1998-12-15,45.92
1998-12-16,48.37
1998-12-17,48.39
1998-12-18,46.24
1998-12-21,46.34
1998-12-22,45.59
1998-12-23,44.4
1998-12-24,44.68
1998-12-25,45.94
1998-12-28,46.35
1998-12-29,45.55
1998-12-30,45.34
1998-12-31,45.34
1999-01-05,45.6
1999-01-06,46.79
1999-01-11,49.6
1999-01-12,48.07
1999-01-13,44.84
1999-01-14,43.42
1999-01-15,42.33
1999-01-18,43.61
1999-01-19,44.36
1999-01-20,45.24
1999-01-21,45.83
1999-01-22,44.46
1999-01-25,44.54
1999-01-26,44.59
1999-01-27,44.16
1999-01-28,43.94
1999-01-29,44.51
1999-02-01,44.73
1999-02-02,44.73
1999-02-03,45.04
1999-02-04,45.47
1999-02-05,45.05
1999-02-08,45.64
1999-02-09,47.03
1999-02-10,50.59
1999-02-11,54.1
1999-02-12,53.59
1999-02-15,52.91
1999-02-16,55.11
1999-02-17,57.68
1999-02-18,58.35
1999-02-19,61.13
1999-02-22,70.36
1999-02-23,68.8
1999-02-24,68.39
1999-02-25,68.27
1999-02-26,62.44
1999-03-01,66.66
1999-03-02,70.28
1999-03-03,67.44
1999-03-04,65.32
1999-03-05,66.74
1999-03-09,67.93
1999-03-10,70.08
1999-03-11,77.61
1999-03-12,79.3
1999-03-15,79.96
1999-03-16,82.55
1999-03-17,87.25
1999-03-18,87.61
1999-03-19,86.28
1999-03-22,84.71
1999-03-23,82.6
1999-03-24,79.47
1999-03-25,87.56
1999-03-26,92.37
1999-03-29,89.64
1999-03-30,89.16
1999-03-31,86.56
1999-04-01,87.4
1999-04-02,86.05
1999-04-05,87.89
1999-04-06,85.62
1999-04-07,81.88
1999-04-08,81
1999-04-09,76.29
1999-04-12,77.34
1999-04-13,79.26
1999-04-14,82.06
1999-04-15,86.74
1999-04-16,88.79
1999-04-19,92.5
1999-04-20,88.37
1999-04-21,86.92
1999-04-22,89.53
1999-04-23,92.18
1999-04-26,92.41
1999-04-27,92.65
1999-04-28,89.38
1999-04-29,93.48
1999-04-30,96.6
1999-05-05,105.99
1999-05-06,110.93
1999-05-07,109.88
1999-05-11,104.02
1999-05-12,90.98
1999-05-13,92.92
1999-05-14,96.93
1999-05-17,106.21
1999-05-18,109.6
1999-05-19,111.19
1999-05-20,107.04
1999-05-21,109.97
1999-05-24,114.19
1999-05-25,110.18
1999-05-26,110.51
1999-05-27,112.92
1999-05-28,110.15
1999-05-31,107.87
1999-06-01,108.46
1999-06-02,105.27
1999-06-03,108.1
1999-06-04,111.75
1999-06-07,113.66
1999-06-08,116.01
1999-06-09,116.87
1999-06-10,119.3
1999-06-11,120.51
1999-06-15,122.19
1999-06-16,123.68
1999-06-17,126.45
1999-06-18,126.13
1999-06-21,132.72
1999-06-22,134.93
1999-06-23,131.1
1999-06-24,132.62
1999-06-25,129.77
1999-06-28,129.77
1999-06-29,130.25
1999-06-30,131.64
1999-07-01,136.08
1999-07-02,138.57
1999-07-05,142.09
1999-07-06,150.34
1999-07-07,148.69
1999-07-08,149.93
1999-07-09,147.42
1999-07-12,146.66
1999-07-13,140.49
1999-07-14,142.61
1999-07-15,141.64
1999-07-16,141.27
1999-07-19,135.08
1999-07-20,133.07
1999-07-21,127.53
1999-07-22,130.91
1999-07-23,127.68
1999-07-26,128.91
1999-07-27,125.94
1999-07-28,124.06
1999-07-29,117.25
1999-07-30,114.88
1999-08-02,114.39
1999-08-03,112.32
1999-08-04,106.45
1999-08-05,100.03
1999-08-06,106.32
1999-08-09,98.87
1999-08-10,110.32
1999-08-11,106.49
1999-08-12,110.45
1999-08-13,107.52
1999-08-16,106.89
1999-08-17,107.58
1999-08-18,107.14
1999-08-19,107.52
1999-08-20,109.99
1999-08-23,117.73
1999-08-24,119.16
1999-08-25,117.27
1999-08-26,112.65
1999-08-27,108.65
1999-08-30,103.96
1999-08-31,100.72
1999-09-01,104.91
1999-09-02,108.54
1999-09-03,108.56
1999-09-06,110.3
1999-09-07,110.72
1999-09-08,108.73
1999-09-09,107.41
1999-09-10,110.47
1999-09-13,105.71
1999-09-14,104.99
1999-09-15,101.58
1999-09-16,98
1999-09-17,93.57
1999-09-20,87.87
1999-09-21,83.53
1999-09-22,83.33
1999-09-23,88.44
1999-09-24,87.6
1999-09-27,91.14
1999-09-28,90.57
1999-09-29,88.62
1999-09-30,87.13
1999-10-01,88.74
1999-10-04,90.79
1999-10-05,92.12
1999-10-06,91.82
1999-10-07,91.96
1999-10-08,95.34
1999-10-11,98.33
1999-10-12,100.55
1999-10-13,96.88
1999-10-14,101.31
1999-10-15,99.01
1999-10-18,96.88
1999-10-19,99.25
1999-10-20,101.02
1999-10-21,100.62
1999-10-22,101.07
1999-10-25,101.31
1999-10-26,104.3
1999-10-27,105.19
1999-10-28,106.42
1999-10-29,106.86
1999-11-01,102.64
1999-11-02,113.17
1999-11-03,112.05
1999-11-04,112.08
1999-11-05,119.89
1999-11-09,124.01
1999-11-10,127.63
1999-11-11,121.5
1999-11-12,119.87
1999-11-15,121.93
1999-11-16,122.45
1999-11-17,120.32
1999-11-18,118.06
1999-11-19,121.42
1999-11-22,125.65
1999-11-23,128.58
1999-11-24,125.45
1999-11-25,123.41
1999-11-26,125.54
1999-11-29,122.62
1999-11-30,120.76
1999-12-01,119.71
1999-12-02,122.25
1999-12-03,124.86
1999-12-06,126.63
1999-12-07,121.97
1999-12-08,117.14
1999-12-09,118.38
1999-12-10,116.24
1999-12-14,116.8
1999-12-15,124.37
1999-12-16,126.84
1999-12-17,126.21
1999-12-20,133.42
1999-12-21,141.48
1999-12-22,149.39
1999-12-23,145.17
1999-12-24,148.51
1999-12-27,153.5
1999-12-28,161.78
1999-12-29,150.88
1999-12-30,151.87
2000-01-05,173
2000-01-06,186.26
2000-01-10,200.81
2000-01-11,199.57
2000-01-12,196.88
2000-01-13,210.05
2000-01-14,217.28
2000-01-17,219.73
2000-01-18,212.88
2000-01-19,200.66
2000-01-20,206.61
2000-01-21,215.77
2000-01-24,210.82
2000-01-25,198.65
2000-01-26,198.8
2000-01-27,203.82
2000-01-28,201.81
2000-01-31,188.81
2000-02-01,191.59
2000-02-02,186.67
2000-02-03,189.67
2000-02-04,196.08
2000-02-07,200.28
2000-02-08,204.87
2000-02-09,216.53
2000-02-10,210.25
2000-02-11,210.91
2000-02-14,214.12
2000-02-15,203.2
2000-02-16,202.7
2000-02-17,201.51
2000-02-18,200.6
2000-02-21,195.3
2000-02-22,199.57
2000-02-23,202.68
2000-02-24,207.16
2000-02-25,198.56
2000-02-28,191.12
2000-02-29,191.49
2000-03-01,198.99
2000-03-02,201.49
2000-03-03,205.49
2000-03-06,210.98
2000-03-07,211.95
2000-03-09,232.16
2000-03-10,241.53
2000-03-13,239.8
2000-03-14,245.92
2000-03-15,246.46
2000-03-16,247.66
2000-03-17,249.94
2000-03-20,243.86
2000-03-21,240.17
2000-03-22,245.8
2000-03-23,260.16
2000-03-24,268.86
2000-03-27,277.82
