date,close
2004-08-24,2.62175
2004-08-30,2.55025
2004-09-03,2.50025
2004-09-10,2.63325
2004-09-16,2.84925
2004-09-22,2.9595
2004-09-28,3.1715
2004-10-04,3.3765
2004-10-08,3.44325
2004-10-14,3.55
2004-10-20,3.51225
2004-10-26,4.545
2004-11-01,4.90075
2004-11-05,4.23375
2004-11-11,4.5755
2004-11-17,4.3125
2004-11-23,4.188
2004-11-30,4.5495
2004-12-06,4.40725
2004-12-10,4.29125
2004-12-16,4.41175
2004-12-22,4.6575
2004-12-29,4.8225
2005-01-04,4.8625
2005-01-10,4.8765
2005-01-14,4.999
2005-01-21,4.707
2005-01-27,4.702
2005-02-02,5.149
2005-02-08,4.966
2005-02-14,4.82475
2005-02-18,4.94875
2005-02-25,4.64675
2005-03-03,4.67525
2005-03-09,4.53375
2005-03-15,4.46525
2005-03-21,4.522
2005-03-28,4.5355
2005-04-01,4.501
2005-04-07,4.844
2005-04-13,4.82325
2005-04-19,4.785
2005-04-25,5.588
2005-04-29,5.5
2005-05-05,5.6745
2005-05-11,5.782
2005-05-17,5.828
2005-05-23,6.386
2005-05-27,6.65
2005-06-03,7.0065
2005-06-09,7.158
2005-06-15,6.87
2005-06-21,7.196
2005-06-27,7.6025
2005-07-01,7.281
2005-07-08,7.406
2005-07-14,7.522
2005-07-20,7.8
2005-07-26,7.402
2005-08-01,7.29
2005-08-05,7.309
2005-08-11,7.101
2005-08-17,7.1275
2005-08-23,6.9895
2005-08-29,7.211
2005-09-02,7.211
2005-09-09,7.477
2005-09-15,7.5655
2005-09-21,7.7975
2005-09-27,7.8485
2005-10-03,7.967
2005-10-07,7.825
2005-10-13,7.436
2005-10-19,7.7175
2005-10-25,8.673
2005-10-31,9.3035
2005-11-04,9.761
2005-11-10,9.7775
2005-11-16,9.954
2005-11-22,10.412
2005-11-29,10.0885
2005-12-05,10.146
2005-12-09,10.23
2005-12-15,10.564
2005-12-21,10.658
2005-12-28,10.667
2006-01-04,11.131
2006-01-10,11.744
2006-01-17,11.678
2006-01-23,10.6875
2006-01-27,10.837
2006-02-02,9.901
2006-02-08,9.227
2006-02-14,8.583
2006-02-21,9.165
2006-02-27,9.7595
2006-03-03,9.4545
2006-03-09,8.575
2006-03-15,8.6125
2006-03-21,8.498
2006-03-27,9.242
2006-03-31,9.75
2006-04-06,10.2795
2006-04-12,10.224
2006-04-19,10.2625
2006-04-25,10.679
2006-05-01,9.9725
2006-05-05,9.8575
2006-05-11,9.675
2006-05-17,9.3625
2006-05-23,9.3895
2006-05-30,9.2985
2006-06-05,9.361
2006-06-09,9.664
2006-06-15,9.775
2006-06-21,10.053
2006-06-27,10.058
2006-07-03,10.58
2006-07-10,10.455
2006-07-14,10.0875
2006-07-20,9.678
2006-07-26,9.6375
2006-08-01,9.388
2006-08-07,9.449
2006-08-11,9.2125
2006-08-17,9.645
2006-08-23,9.336
2006-08-29,9.474
2006-09-05,9.609
2006-09-11,9.602
2006-09-15,10.247
2006-09-21,10.171
2006-09-27,10.073
2006-10-03,10.101
2006-10-09,10.725
2006-10-13,10.6825
2006-10-19,10.6515
2006-10-25,12.165
2006-10-31,11.91
2006-11-06,11.924
2006-11-10,11.839
2006-11-16,12.3975
2006-11-22,12.7
2006-11-29,12.116
2006-12-05,12.175
2006-12-11,12.098
2006-12-15,12.0075
2006-12-21,11.405
2006-12-28,11.564
2007-01-05,12.18
2007-01-11,12.493
2007-01-18,12.196
2007-01-24,12.477
2007-01-30,12.358
2007-02-05,11.679
2007-02-09,11.547
2007-02-15,11.537
2007-02-22,11.896
2007-02-28,11.236
2007-03-06,11.439
2007-03-12,11.369
2007-03-16,11.021
2007-03-22,11.551
2007-03-28,11.547
2007-04-03,11.815
2007-04-10,11.6625
2007-04-16,11.857
2007-04-20,12.062
2007-04-26,12.0295
2007-05-02,11.6445
2007-05-08,11.67
2007-05-14,11.5445
2007-05-18,11.758
2007-05-24,11.858
2007-05-31,12.448
2007-06-06,12.956
2007-06-12,12.619
2007-06-18,12.88
2007-06-22,13.1245
2007-06-28,13.125
2007-07-05,13.541
2007-07-11,13.612
2007-07-17,13.875
2007-07-23,12.813
2007-07-27,12.797
2007-08-02,12.775
2007-08-08,13.1445
2007-08-14,12.715
2007-08-20,12.448
2007-08-24,12.875
2007-08-30,12.785
2007-09-06,13.088
2007-09-12,13.066
2007-09-18,13.382
2007-09-24,14.2005
2007-09-28,14.182
2007-10-04,14.476
2007-10-10,15.635
2007-10-16,15.4
2007-10-22,16.269
