date,close
1960-01-05,876.21
1960-01-07,905.59
1960-01-12,914.83
1960-01-14,930.19
1960-01-20,955.61
1960-01-22,955.05
1960-01-27,953.93
1960-01-29,953.03
1960-02-03,958.98
1960-02-05,964.56
1960-02-10,985.98
1960-02-12,986.1
1960-02-17,988.12
1960-02-19,991.8
1960-02-24,993.52
1960-02-26,1007.04
1960-03-02,1029.46
1960-03-04,1025.6
1960-03-09,1025.06
1960-03-11,1010.04
1960-03-16,1009.42
1960-03-18,1021.33
1960-03-23,1033.3
1960-03-25,1040.93
1960-03-30,1060.47
1960-04-01,1062.25
1960-04-06,1075.39
1960-04-08,1074.24
1960-04-13,1052.23
1960-04-15,1059.06
1960-04-20,1087.89
1960-04-22,1090.28
1960-04-27,1092.12
1960-04-30,1091.21
1960-05-07,1109.47
1960-05-10,1075.93
1960-05-14,1065.67
1960-05-17,1030.36
1960-05-21,1041.59
1960-05-24,1022.43
1960-05-28,1004.49
1960-05-31,988.47
1960-06-04,1018.99
1960-06-07,1043.98
1960-06-11,1046.63
1960-06-14,1060.43
1960-06-18,1024.84
1960-06-21,1030.52
1960-06-25,1061.04
1960-06-28,1065.57
1960-07-02,1093.28
1960-07-05,1098.17
1960-07-09,1101.24
1960-07-12,1113.75
1960-07-16,1112.14
1960-07-19,1115.65
1960-07-23,1104.29
1960-07-26,1091.08
1960-07-30,1097.09
1960-08-02,1100.97
1960-08-06,1121.25
1960-08-09,1124.99
1960-08-13,1133.95
1960-08-16,1138.17
1960-08-20,1141.95
1960-08-23,1142.31
1960-08-27,1158.3
1960-08-30,1166.56
1960-09-03,1181.25
1960-09-06,1182.7
1960-09-10,1191.84
1960-09-13,1193.4
1960-09-17,1198.29
1960-09-20,1200.37
1960-09-26,1209.49
1960-09-28,1213.23
1960-10-03,1229.38
1960-10-05,1234.95
1960-10-10,1227.69
1960-10-12,1242.6
1960-10-17,1254.3
1960-10-19,1258.25
1960-10-24,1258.57
1960-10-26,1253.6
1960-10-31,1250.06
1960-11-02,1272.14
1960-11-08,1299.44
1960-11-10,1307.84
1960-11-15,1319.99
1960-11-17,1318.8
1960-11-22,1292.97
1960-11-25,1300.66
1960-11-30,1287.17
1960-12-02,1314.82
1960-12-07,1307.49
1960-12-09,1307.45
1960-12-14,1297.48
1960-12-16,1301.79
1960-12-21,1289.96
1960-12-23,1308.06
1960-12-28,1356.71
1961-01-05,1376.13
1961-01-10,1394.34
1961-01-12,1383.78
1961-01-17,1444.9
1961-01-19,1449.31
1961-01-24,1468.16
1961-01-26,1482.99
1961-01-31,1493.85
1961-02-02,1517.86
1961-02-07,1544.04
1961-02-09,1557.01
1961-02-14,1581.64
1961-02-16,1575.23
1961-02-21,1565.49
1961-02-23,1575.6
1961-02-28,1524.53
1961-03-02,1543.53
1961-03-07,1538.7
1961-03-09,1485.98
1961-03-14,1491.89
1961-03-16,1481.38
1961-03-22,1480.79
1961-03-24,1526.28
1961-03-29,1577.22
1961-03-31,1587.1
1961-04-05,1589.93
1961-04-07,1603.64
1961-04-12,1630.67
1961-04-14,1648.84
1961-04-19,1673.99
1961-04-21,1652.3
1961-04-26,1658.48
1961-04-28,1645.55
1961-05-06,1682.08
1961-05-09,1684.97
1961-05-13,1696.72
1961-05-16,1700.72
1961-05-20,1642.81
1961-05-23,1676.53
1961-05-27,1677.33
1961-05-30,1675.15
